Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
ADUCM350BBCZ	Analog Devices	DK	ADUCM350BBCZ-ND	IC MCU 16BIT AFE 120BGA	Surface Mount 120-LFBGA CSPBGA
ADG1608BRUZ	Analog Devices	DK	ADG1608BRUZ-ND	IC MULTIPLEXER 8X1 16TSSOP	Surface Mount 16-TSSOP
ADP3333ARMZ-3.3-R7	Analog Devices	DK	ADP3333ARMZ-3.3-R7CT-ND	IC REG LDO 3.3V 0.3A 8MSOP	Surface Mount 8-MSOP
EYSGJNAWY-1X	Taiyo Yuden	DK	587-4378-1-ND	RF TXRX MOD BLUETOOTH TRACE ANT	BLE Module
DSILC6-4P6	STMicroelectronics	DK	497-5544-2-ND	TVS DIODE 5VWM SOT666 ESD DIODE	Surface Mount SOT-666
5003	Keystone Electronics	DK	36-5003-ND	TEST POINT PC MINI .040D ORANGE	0.040 Hole Diameter
5007	Keystone Electronics	DK	36-5007-ND	TEST POINT PC COMPACT .063D WHT	0.063 Hole Diameter
3002TR	Keystone Electronics	DK	36-3002CT-ND	HOLDER BATTERY COIN 20MM DIA SMD	Surface Mount Coincell Holder
B3S-1000	Omron Electronics	DK	SW415-ND	SWITCH TACTILE SPST-NO 0.05A 24V	Surface Mount Button
1825910-6	TE Connectivity	DK	450-1650-ND	Tactile Switch SPST-NO Top Actuated Through Hole	Through Hole Button
G22AP	NKK Switches	DK	360-2791-ND	SWITCH TOGGLE DPDT 0.4VA 28V	SwitchDPDT
969102-0000-DA	3M	DK	3M9580-ND	SHUNT JUMPER .1 BLACK GOLD	Shunt cover for jumper
M20-9990246	Harwin	DK	952-2262-ND	2 Positions Header Unshrouded Breakaway Connector 0.100 Through Hole Tin	Through Hole Male 2 Pin
M20-9990345	Harwin	DK	952-2263-ND	3 Positions Header Unshrouded Breakaway Connector 0.100 Through Hole Gold	Through Hole
61300821021	Wurth Electronics	DK	732-5353-ND	8 Positions Header Unshrouded Connector 0.100 Through Hole Right Angle Gold	Through Hole Right Angle
61200821621	Wurth Electronics	DK	         732-5395-ND	8 Positions Header Shrouded Connector 0.100 2.54mm Through Hole	Through Hole shrouded 8 pin header
61200820621	Wurth Electronics	DK	732-5476-5-ND	8 Positions Header Shrouded Connector 0.100 2.54mm Surface Mount Gold	Surface Mount Shrouded 8 pin connector
61200823021	Wurth Electronics	DK	732-5444-ND	CONN HEAD 8 POS 2.54 FOR CABLE	8 pin cable connector
